Name,Image,Price,PhanLoai,Quan jogger,Quan jean,Quan au,Ao thun nam,Ao khoac,Ao so mi,Ao hoodie
ÁO THUN U1ATN11101FOSHT,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20211105/05112021081144_1000_x_1500__Dai_dien_169_thumb.jpg, 265000₫,0,0,0,0,1,0,0,0
QUẦN TÂY M1QTY11101BSFTR,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20211125/25112021071137_quan_tay_nam_M1QTY11101BSFTR_toto_shop__1__thumb.jpg, 345000₫,1,0,0,1,0,0,0,0
QUẦN KAKI M1QKK11101BSFTR,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20211125/25112021071159_quan_ka_ki_nam_M1QKK11101BSFTR_toto_shop__1__thumb.jpg, 325000₫,1,0,0,0,0,0,0,0
ÁO SƠMI M1SMN11101BOSBA,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20211125/25112021081156_ao_so_mi_nam_M1SMN11101BOSBA_toto_shop__1__thumb.jpg, 285000₫,0,0,0,0,0,0,1,0
ÁO SƠMI M1SMD11101BOSBA,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20211122/22112021051135_ao_somi_M1SMD11101BOSBA_toto_shop__1__thumb.jpg, 315000₫,0,0,0,0,0,0,1,0
QUẦN SHORT M1SJN11101FSFRI,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20211215/15122021121258_quan_short_nam_M1SJN11101FSFRI_toto_shop__1__thumb.jpg, 315000₫,1,0,0,0,0,0,0,0
QUẦN JEAN M1QJN11104BSFTR,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20211125/25112021071143_quan_jean_nam_M1QJN11104BSFTR_toto_shop__1__thumb.jpg, 395000₫,1,0,1,0,0,0,0,0
QUẦN JEAN M1QJN11103FSFRI,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20211125/25112021081140_quan_jean_nam_M1QJN11103FSFRI_toto_shop__1__thumb.jpg, 425000₫,1,0,1,0,0,0,0,0
QUẦN JEAN M1QJN11102BSFRI,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20211125/25112021071112_quan_jean_nam_M1QJN11102BSFRI_toto_shop__1__thumb.jpg, 415000₫,1,0,1,0,0,0,0,0
QUẦN JEAN M1QJN11101FSFRI,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20211124/24112021081131_quan_jean_nam_M1QJN11101FSFRI_toto_shop__1__thumb.jpg, 415000₫,1,0,1,0,0,0,0,0
QUẦN SHORT M1SKK1061002,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20211105/05112021051126_1000_x_1500__Dai_dien_thumb.jpg, 265000₫,1,0,0,0,0,0,0,0
ÁO THUN U1ATN2061002,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20211105/05112021051136_1000_x_1500__Dai_dien_0_thumb.jpg, 265000₫,0,0,0,0,1,0,0,0
ÁO SOMI M1SMD2061002,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20211105/05112021081139_1000_x_1500__Dai_dien_thumb.jpg, 285000₫,0,0,0,0,0,0,1,0
QUẦN SHORT M1SKK1061001,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20211105/05112021081125_1000_x_1500__Dai_dien_thumb.jpg, 285000₫,1,0,0,0,0,0,0,0
QUẦN SHORT M1SQT1061001,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20211105/05112021051140_1000_x_1500__Dai_dien_0_thumb.jpg, 265000₫,1,0,0,0,0,0,0,0
ÁO SOMI M1SMD1061001,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20211105/05112021051119_1000_x_1500__Dai_dien_0_thumb.jpg, 285000₫,0,0,0,0,0,0,1,0
ÁO THUN U1ATN2061001,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20211105/05112021081151_1000_x_1500__Dai_dien_thumb.jpg, 265000₫,0,0,0,0,1,0,0,0
ÁO SOMI M1SMD1051003,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20210618/18062021030640_1000_x_1500__Dai_dien_thumb.jpg, 285000₫,0,0,0,0,0,0,1,0
ÁO POLO M2ATP2051004,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20210527/27052021070512_1000_x_1500__Dai_dien.jpg, 295000₫,0,0,0,0,1,0,0,0
ÁO POLO M2ATP2051003,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20210618/18062021030625_1000_x_1500__Dai_dien_thumb.jpg, 295000₫,0,0,0,0,1,0,0,0
ÁO POLO M2ATP2051002,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20210527/27052021060520_1000_x_1500__Dai_dien.jpg, 295000₫,0,0,0,0,1,0,0,0
ÁO POLO M2ATP2051001,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20210527/27052021070509_1000_x_1500__Dai_dien.jpg, 295000₫,0,0,0,0,1,0,0,0
ÁO SOMI M2SMN3051007,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20210513/13052021040523_Dai_dien.jpg, 285000₫,0,0,0,0,0,0,1,0
QUẦN SHORT M1SJN2051002,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20210514/14052021030525_dai_dien.jpg, 236250₫,1,0,0,0,0,0,0,0
ÁO SOMI M1SMN3051002,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20210514/14052021100541_Dai_dien.jpg, 285000₫,0,0,0,0,0,0,1,0
ÁO SOMI M1SMN3051001,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20210513/13052021040559_Dai_dien.jpg, 285000₫,0,0,0,0,0,0,1,0
ÁO SOMI M1SMD1051002,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20210514/14052021030547_dai_dien.jpg, 285000₫,0,0,0,0,0,0,1,0
ÁO THUN U1ATN2051002,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20210513/13052021040507_Dai_dien.jpg, 265000₫,0,0,0,0,1,0,0,0
QUẦN JOGGER M1QJJ1051001,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20210514/14052021030554_dai_dien.jpg, 415000₫,1,1,0,0,0,0,0,0
ÁO THUN U1ATN2051001,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20210513/13052021030543_Dai_dien.jpg, 265000₫,0,0,0,0,1,0,0,0
ÁO THUN M1ATB4051001,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20210514/14052021030527_dai_dien.jpg, 185000₫,0,0,0,0,1,0,0,0
ÁO SOMI M1SMD1051001,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20210514/14052021030545_dai_dien.jpg, 285000₫,0,0,0,0,0,0,1,0
ÁO SOMI M2SMN3051006,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20210514/14052021030549_dai_dien.jpg, 285000₫,0,0,0,0,0,0,1,0
ÁO SOMI M2SMN3051005,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20210514/14052021030512_dai_dien.jpg, 285000₫,0,0,0,0,0,0,1,0
ÁO SOMI M2SMN3051004,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20210514/14052021020549_Dai_dien.jpg, 285000₫,0,0,0,0,0,0,1,0
ÁO SOMI M2SMN3051003,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20210514/14052021020533_dai_dien.jpg, 285000₫,0,0,0,0,0,0,1,0
ÁO SOMI M2SMN3051002,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20210514/14052021030538_dai_dien.jpg, 285000₫,0,0,0,0,0,0,1,0
ÁO SOMI M2SMN3051001,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20210514/14052021020515_dai_dien.jpg, 285000₫,0,0,0,0,0,0,1,0
ÁO THUN M2ATN4051001,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20210513/13052021040511_Dai_dien.jpg, 320000₫,0,0,0,0,1,0,0,0
QUẦN SHORT M1SJN3051001,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20210514/14052021020514_dai_dien.jpg, 315000₫,1,0,0,0,0,0,0,0
ÁO SOMI M1SMN2041001,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20210514/14052021030551_dai_dien.jpg, 285000₫,0,0,0,0,0,0,1,0
ÁO THUN U1ATN2041004,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20210513/13052021030559_Dai_dien.jpg, 280000₫,0,0,0,0,1,0,0,0
ÁO THUN U1ATN1041003,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20210513/13052021100514_Dai_dien.jpg, 160000₫,0,0,0,0,1,0,0,0
QUẦN JEAN M1QJN2041003,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20210514/14052021030557_dai_dien.jpg, 415000₫,1,0,1,0,0,0,0,0
QUẦN JEAN M1QJN2041002,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20210514/14052021030517_dai_dien.jpg, 289000₫,1,0,1,0,0,0,0,0
QUẦN SHORT M1SKK1041002,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20210513/13052021030550_Dai_dien.jpg, 265000₫,1,0,0,0,0,0,0,0
